MARCA,MODELO,CODIGO_INFORME_TECNICO,FECHA_HOML,FOOT_PRINT_MT2,AÑO,TIPO_LDV,CATEGORIA_PROPULSION,RUT,IMP_COD,EMIS_NORMA,CATEGORIA_VH,PESO_BRUTO_VH_KG,TRANSMISION,EMIS_CO2_EQUIV,REND_EQUIV_KML,N2O_GKM,MP_GKM,NP,HCHO_MGKM,HC_GKM,HC_NOX_GKM,HCNM_GKM,NMOG_NOX_GKM,NOX_GKM,NMOG_GKM,CO_GKM
chevrolet,"d-max 2,5 lts. dohc pick up doble cabina 4p. t/a 4x4 motor diesel",CH5389E5101300-4,2014-06-10,5.493625,2014,mediano,ice,93.515.000-0,GEMO935150000,euro 5,mc3d,3000.0,A,228.0,10.01,0.0,0.0006,0.0,0.0,0.0,0.2625,0.0,0.0,0.09965,0.0,0.0598
chevrolet,"d-max 2,5 lts. dohc pick up doble cabina 4p. t/a 4x2 motor diesel",CH5389E5101301-7,2014-06-10,5.493625,2014,mediano,ice,93.515.000-0,GEMO935150000,euro 5,mc3d,3000.0,A,228.0,10.01,0.0,0.0006,0.0,0.0,0.0,0.2625,0.0,0.0,0.09965,0.0,0.0598
fiat,"bravo 1,6 lts. dohc jtd hatchback 5p. t/m motor diesel",FT5710E50414S00-4,2014-06-12,4.667,2014,liviano,ice,,,euro 5,lpd,1830.0,M,115.0,20.27,0.0,0.00015,0.0,0.0,0.0,0.2004,0.0,0.0,0.0834,0.0,0.1363
porsche,"911 carrera s 3,8 lts. dohc coupe 2p. t/a 4x2 motor otto",PO5734E50514S00-3,2014-06-12,4.03875,2014,liviano,ice,96.899.100-0,DITE968991000,euro 5,lpo,1850.0,A,199.0,11.5,0.0,0.0,0.0,0.0,0.0212,0.0,0.0,0.0,0.0157,0.0,0.0642
porsche,"911 carrera s 3,8 lts. dohc cabriolet 2p. t/a 4x2 motor otto",PO5734E50514S01-7,2014-06-12,4.185,2014,liviano,ice,96.899.100-0,DITE968991000,euro 5,lpo,1850.0,A,204.0,11.2,0.0,0.0,0.0,0.0,0.0212,0.0,0.0,0.0,0.0157,0.0,0.0642
porsche,"911 carrera 4s 3,8 lts. dohc coupe 2p. t/a 4x4 motor otto",PO5734E50514S02-0,2014-06-12,4.557,2014,liviano,ice,96.899.100-0,DITE968991000,euro 5,lpo,1850.0,A,207.0,11.0,0.0,0.0,0.0,0.0,0.0212,0.0,0.0,0.0,0.0157,0.0,0.0642
porsche,"911 carrera 4s 3,8 lts. dohc cabriolet 2p. t/a 4x4 motor otto",PO5734E50514S03-4,2014-06-12,4.3904,2014,liviano,ice,96.899.100-0,DITE968991000,euro 5,lpo,1850.0,A,211.0,10.9,0.0,0.0,0.0,0.0,0.0212,0.0,0.0,0.0,0.0157,0.0,0.0642
audi,"rs q3 quattro stronic 2,5 lts. tfsi dohc station wagon 5p. t/a 4x4 motor ctsa otto",AD5716E50414S00-2,2014-06-13,4.706224,2014,liviano,ice,76.245.828-4,PORS762458284,euro 5,lpo,2215.0,A,208.0,11.4,0.0,0.0,0.0,0.0,0.0173,0.0,0.0,0.0,0.01695,0.0,0.06075
mitsubishi,"outlander phev 2,0 lts. dohc station wagon 5p. t/a, vehiculo hibrido electrico",MT5733E50514S00-9,2014-06-23,4.82736,2014,liviano,,,,euro 5,lph,2310.0,A,44.0,14.73,0.0,0.0,0.0,0.0,0.01335,0.0,0.0,0.0,0.004,0.0,0.208
mazda,"mazda6 2,5 lts. dohc sedan 4p. t/a motor otto",MZ5721E50514S00-5,2014-06-18,5.24116,2014,liviano,ice,93.061.000-3,ALAM930610003,euro 5,lpo,1965.0,A,166.0,14.4,0.0,0.0,0.0,0.0,0.01612,0.0,0.0,0.0,0.0044,0.0,0.110025
mazda,"mazda6 2,5 lts. station wagon 5p. t/a otto",MZ5721E50514S01-9,2015-08-18,5.06,2015,liviano,ice,93.061.000-3,ALAM930610003,euro 5,lpo,2000.0,A,166.0,14.4,0.0,0.0,0.0,0.0,0.01612,0.0,0.0,0.0,0.0044,0.0,0.110025
hyundai,"i30 gd 1,6 lts. dohc hatchback 5p. t/m motor otto",HY5755E50514S00-9,2014-06-18,4.9078,2014,liviano,ice,79.649.140-K,GILD79649140K,euro 5,lpo,1800.0,M,152.0,15.7,0.0,0.0,0.0,0.0,0.02093,0.0,0.0,0.0,0.00436,0.0,0.2436
mazda,"mazda3 2,0 lts. dohc hatchback 5p. t/m motor otto",MZ5724E50514S00-1,2014-06-18,4.9707,2014,liviano,ice,93.061.000-3,ALAM930610003,euro 5,lpo,1815.0,M,154.0,15.5,0.0,0.0,0.0,0.0,0.016315,0.0,0.0,0.0,0.00232,0.0,0.069525
mazda,"mazda3 2,0 lts. dohc sedan 4p. t/m motor otto",MZ5724E50514S01-5,2014-06-18,4.86,2014,liviano,ice,93.061.000-3,ALAM930610003,euro 5,lpo,1815.0,M,154.0,15.5,0.0,0.0,0.0,0.0,0.016315,0.0,0.0,0.0,0.00232,0.0,0.069525
hyundai,"elantra md fl 1,6 lts. dohc sedan 4p. t/m motor otto",HY5754E50514S00-3,2014-06-18,4.968,2014,liviano,ice,79.649.140-K,GILD79649140K,euro 5,lpo,1770.0,M,158.0,15.1,0.0,0.0,0.0,0.0,0.02454,0.0,0.0,0.0,0.0038,0.0,0.390675
hyundai,"elantra jk fl 1,6 lts. dohc coupe 2p. t/m motor otto",HY5754E50514S01-7,2014-06-18,4.806,2014,liviano,ice,79.649.140-K,GILD79649140K,euro 5,lpo,1770.0,M,158.0,15.1,0.0,0.0,0.0,0.0,0.02454,0.0,0.0,0.0,0.0038,0.0,0.390675
toyota,"camry 2,5 dohc sedan 4p. t/a motor otto",TY5738E50514S00-7,2014-06-18,4.981125,2014,liviano,ice,86.740.500-3,TOYO867405003,euro 5,lpo,2100.0,A,178.0,13.4,0.0,0.0,0.0,0.0,0.0195,0.0,0.0,0.0,0.00496,0.0,0.080815
nissan,"sentra 1,8 lts. dohc sedan 4p. t/m motor otto",NS5730T250514S00-0,2014-06-23,4.8465,2014,liviano,ice,,,tier 2 b5,lpo,1666.0,M,155.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0145,0.526
subaru,"forester 2,0 lts. xt turbo dohc station wagon 5p. 4x4 t/a (cvt) motor otto",SB5699E50414S00-3,2014-06-23,4.686,2014,liviano,ice,96.856.360-2,INCH968563602,euro 5,lpo,2110.0,A,197.0,11.8,0.0,0.0,0.0,0.0,0.0212,0.0,0.0,0.0,0.00435,0.0,0.12445
subaru,"forester 2,0 lts. xt turbo dohc station wagon 5p. 4x4 t/a (cvt) motor otto",SB5699E50316S01-K,2016-03-21,4.686,2016,liviano,ice,96.856.360-2,INCH968563602,euro 5,lpo,2110.0,A,196.0,11.9,0.0,0.0,0.0,0.0,0.01855,0.0,0.0,0.0,0.0039,0.0,0.0493
ford,"ranger xlt 2,5 lts. dohc pick up doble cabina 4p. t/m 4x2 motor otto",FR5737E5051400-6,2014-06-23,5.7155,2014,mediano,ice,78.703.910-3,FORD787039103,euro 5,mc3o,3200.0,M,265.0,9.0,0.0,0.0,0.0,0.0,0.04235,0.0,0.0,0.0,0.01964,0.0,0.3786
ford,"ranger limited 2,5 lts. dohc pick up doble cabina 4p. t/m 4x2 motor otto",FR5737E5051401-9,2014-06-23,5.8254,2014,mediano,ice,78.703.910-3,FORD787039103,euro 5,mc3o,3200.0,M,265.0,9.0,0.0,0.0,0.0,0.0,0.04235,0.0,0.0,0.0,0.01964,0.0,0.3786
ford,"ranger xl 2,5 lts. dohc pick up doble cabina 4p. t/m 4x2 motor otto",FR5737E5051402-1,2014-06-23,5.624304,2014,mediano,ice,78.703.910-3,FORD787039103,euro 5,mc3o,3200.0,M,265.0,9.0,0.0,0.0,0.0,0.0,0.04235,0.0,0.0,0.0,0.01964,0.0,0.3786
hyundai,"grand i10 ba 1,0 lts. dohc hatchback 5p. t/m motor otto",HY5746E50514S00-K,2014-06-24,4.352875,2014,liviano,ice,79.649.140-K,GILD79649140K,euro 5,lpo,1430.0,M,139.0,17.2,0.0,0.0,0.0,0.0,0.017095,0.0,0.0,0.0,0.01536,0.0,0.29689
hyundai,"grand i10 ba pe 1,0 lts. hatchback 5p. t/m otto",HY5746E50317S01-8,2017-03-07,4.352875,2017,liviano,ice,79.649.140-K,GILD79649140K,euro 5,lpo,1430.0,M,144.0,16.4,0.0,0.0,0.0,0.0,0.02522,0.0,0.0,0.0,0.02568,0.0,0.349725
hyundai,"santa fe dm 2,4 lts. dohc station wagon 5p. t/a awd motor otto",HY5736E50514S00-5,2014-06-24,4.995,2014,liviano,ice,79.649.140-K,GILD79649140K,euro 5,lpo,2510.0,A,218.0,10.7,0.0,0.0,0.0,0.0,0.01295,0.0,0.0,0.0,0.0016,0.0,0.2206
hyundai,"santa fe dm 2,4 lts. dohc station wagon 5p. t/a 4x2 motor otto",HY5736E50514S01-9,2014-06-24,4.7601,2014,liviano,ice,79.649.140-K,GILD79649140K,euro 5,lpo,2510.0,A,218.0,10.7,0.0,0.0,0.0,0.0,0.01295,0.0,0.0,0.0,0.0016,0.0,0.2206
hyundai,"santa fe dm 2,4 lts. dohc station wagon 5p. t/m awd motor otto",HY5745E50514S00-4,2014-06-25,4.7601,2014,liviano,ice,79.649.140-K,GILD79649140K,euro 5,lpo,2510.0,M,223.0,10.4,0.0,0.0,0.0,0.0,0.0091,0.0,0.0,0.0,0.00385,0.0,0.2064
hyundai,"santa fe dm 2,4 lts. dohc station wagon 5p. t/m 4x2 motor otto",HY5745E50514S01-8,2014-06-25,4.482,2014,liviano,ice,79.649.140-K,GILD79649140K,euro 5,lpo,2510.0,M,223.0,10.4,0.0,0.0,0.0,0.0,0.0091,0.0,0.0,0.0,0.00385,0.0,0.2064
mazda,"mazda3 1,6 lts. dohc sedan 4p. t/m motor otto",MZ5722E50514S00-0,2014-06-26,5.076,2014,liviano,ice,93.061.000-3,ALAM930610003,euro 5,lpo,1730.0,M,148.0,16.0,0.0,0.0,0.0,0.0,0.01685,0.0,0.0,0.0,0.00344,0.0,0.3048
hyundai,"eon ha 0,8 lts. dohc hatchback 5p. t/m motor otto",HY5767E50614S00-3,2014-06-26,4.4744,2014,liviano,ice,79.649.140-K,GILD79649140K,euro 5,lpo,1190.0,M,121.0,19.5,0.0,0.0,0.0,0.0,0.014755,0.0,0.0,0.0,0.00264,0.0,0.461925
volkswagen,"passat tsi 1,8 lts. turbo dohc sedan 4p. t/a motor cdaa otto",VW5758E50514S00-6,2014-06-27,5.09856,2014,liviano,ice,76.245.828-4,PORS762458284,euro 5,lpo,2050.0,A,168.0,13.9,0.0,0.0,0.0,0.0,0.0189,0.0,0.0,0.0,0.0182,0.0,0.0788
fiat,"linea active jtd 1,2 lts. dohc sedan 4p. t/m motor diesel",FT5711E50414S00-K,2014-06-27,4.89364,2014,liviano,ice,,,euro 5,lpd,1720.0,M,129.0,17.75,0.0,0.000295,0.0,0.0,0.0,0.18402,0.0,0.0,0.080635,0.0,0.14415
porsche,"macan turbo 3,6 lts. dohc station wagon 5p. 4x4 t/a motor otto",PO5681E50414S00-7,2014-06-30,5.038565,2014,liviano,ice,96.899.100-0,DITE968991000,euro 5,lpo,2550.0,A,208.0,11.2,0.0,0.0,0.0,0.0,0.01285,0.0,0.0,0.0,0.0021,0.0,0.1228
brilliance,"h330 1,5 lts. dohc sedan 4p. t/m motor otto",BR5773E50614S00-5,2014-07-01,3.999,2014,liviano,ice,79.649.140-K,GILD79649140K,euro 5,lpo,1630.0,M,167.0,14.3,0.0,0.0,0.0,0.0,0.022035,0.0,0.0,0.0,0.01288,0.0,0.0567
brilliance,"h320 1,5 lts. dohc hatchback 5p. t/m motor otto",BR5773E50614S01-9,2014-07-01,5.31996,2014,liviano,ice,79.649.140-K,GILD79649140K,euro 5,lpo,1630.0,M,167.0,14.3,0.0,0.0,0.0,0.0,0.022035,0.0,0.0,0.0,0.01288,0.0,0.0567
kia,"quoris 3,8 lts. dohc sedan 4p. t/a motor otto",KI5627E50314S00-2,2014-07-01,5.26785,2014,liviano,ice,,,euro 5,lpo,2430.0,A,266.0,9.0,0.0,0.0,0.0,0.0,0.03221,0.0,0.0,0.0,0.00524,0.0,0.1365
volkswagen,"tiguan 2,0 lts. tsi 4motion dohc station wagon 5p. 4x4 t/a motor cawb otto",VW5789E40614S,2014-07-01,4.710636,2014,liviano,ice,76.245.828-4,PORS762458284,euro 4,lpo,2200.0,A,243.0,9.9,0.0,0.0,0.0,0.0,0.0335,0.0,0.0,0.0,0.019,0.0,0.1735
honda,"city lx 1,5 lts. sohc sedan 4p. t/m motor otto",HN5779E50614S00-7,2014-07-02,4.2224,2014,liviano,ice,96.870.620-9,HOND968706209,euro 5,lpo,1490.0,M,141.0,16.4,0.0,0.0,0.0,0.0,0.00895,0.0,0.0,0.0,0.00165,0.0,0.102
honda,"city ex 1,5 lts. sedan 4p. t/m otto",HN5779E50318S01-7,2018-03-20,4.407,2018,liviano,ice,96.870.620-9,HOND968706209,euro 5,lpo,1490.0,M,141.0,16.4,0.0,0.0,0.0,0.0,0.00895,0.0,0.0,0.0,0.00165,0.0,0.102
toyota,"land cruiser prado 4,0 lts. dohc station wagon 5p. 4x4 t/a motor otto",TY5761E5061400-7,2014-07-02,4.90482,2014,mediano,ice,86.740.500-3,TOYO867405003,euro 5,mc3o,2900.0,A,281.0,8.3,0.0,0.0,0.0,0.0,0.0115,0.0,0.0,0.0,0.0192,0.0,0.1489
fiat,"fiorino cargo city 1,4 lts. dohc furgon 4p. t/m motor otto",FT5769E50514S00-5,2014-07-02,4.410315,2014,liviano,ice,,,euro 5,cc1o,1680.0,M,175.0,13.6,0.0,0.0,0.0,0.0,0.020995,0.0,0.0,0.0,0.006,0.0,0.218065
hyundai,"i30 gd 1,8 lts. dohc hatchback 5p. t/m motor otto",HY5777E50614S00-8,2014-07-03,5.035,2014,liviano,ice,79.649.140-K,GILD79649140K,euro 5,lpo,1840.0,M,161.0,14.8,0.0,0.0,0.0,0.0,0.00702,0.0,0.0,0.0,0.0028,0.0,0.1551
mini,"cooper d 1,5 lts. dohc hatchback 3p. t/a motor diesel",BM5726E50514S00-8,2014-07-03,4.308865,2014,liviano,ice,96.695.420-5,WILL966954205,euro 5,lpd,1630.0,A,119.0,19.23,0.0,0.0003,0.0,0.0,0.0,0.1807,0.0,0.0,0.0863,0.0,0.02115
mini,"cooper d 1,5 lts. dohc hatchback 5p. t/a motor diesel",BM5726E50514S01-1,2014-07-03,4.433209,2014,liviano,ice,96.695.420-5,WILL966954205,euro 5,lpd,1735.0,A,119.0,19.23,0.0,0.0003,0.0,0.0,0.0,0.1807,0.0,0.0,0.0863,0.0,0.02115
m. benz,"slk 200 1,8 lts. dohc roadster 2p. t/a motor otto",MB5765E50514S00-K,2014-07-03,4.16988,2014,liviano,ice,96.572.360-9,KAUF965723609,euro 5,lpo,1785.0,A,163.0,14.3,0.0,0.0,0.0,0.0,0.02515,0.0,0.0,0.0,0.014,0.0,0.1115
mazda,"mazda3 1,6 lts. dohc sedan 4p. t/a motor otto",MZ5723E50514S00-6,2014-07-03,4.806,2014,liviano,ice,93.061.000-3,ALAM930610003,euro 5,lpo,1750.0,A,159.0,14.9,0.0,0.0,0.0,0.0,0.01325,0.0,0.0,0.0,0.01195,0.0,0.16685
renault,"master 2,3 lts. dohc furgon 5p. t/m motor diesel",RN5747E5051400-K,2014-07-03,8.96724,2014,mediano,ice,,,euro 5,mc3d,3500.0,M,217.0,10.53,0.0,0.0009,0.0,0.0,0.0,0.2948,0.0,0.0,0.11815,0.0,0.24935
renault,"master l2h2 2,3 lts. dohc furgon 5p. t/m motor diesel",RN5747E5051401-2,2014-07-03,7.43764,2014,mediano,ice,,,euro 5,mc3d,3500.0,M,217.0,10.53,0.0,0.0009,0.0,0.0,0.0,0.2948,0.0,0.0,0.11815,0.0,0.24935
m. benz,"a 200 cdi 2,1 lts., dohc hatchback 5p. t/a motor diesel",MB5766E50514S00-5,2014-07-03,4.88519,2014,liviano,ice,96.572.360-9,KAUF965723609,euro 5,lpd,2010.0,A,141.0,16.18,0.0,0.0009,0.0,0.0,0.0,0.122,0.0,0.0,0.04,0.0,0.10955
m. benz,"a 220 cdi 2,1 lts., dohc hatchback 5p. t/a motor diesel",MB5766E50514S01-9,2014-07-03,4.844705,2014,liviano,ice,96.572.360-9,KAUF965723609,euro 5,lpd,2010.0,A,141.0,16.18,0.0,0.0009,0.0,0.0,0.0,0.122,0.0,0.0,0.04,0.0,0.10955
nissan,"sentra 1,8 lts. dohc sedan 4p. t/a tipo cvt motor otto",NS5728T250514S00-K,2014-07-04,5.589,2014,liviano,ice,,,tier 2 b5,lpo,1697.0,A,154.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.015,0.288
kia,"morning 1,2 lts. dohc hatchback 5p. t/m motor otto",KI5463E51213S00-K,2014-07-04,4.8177,2014,liviano,ice,,,euro 5,lpo,1340.0,M,117.0,20.4,0.0,0.0,0.0,0.0,0.028015,0.0,0.0,0.0,0.01488,0.0,0.2538
hyundai,"elantra md fl 1,8 lts. dohc sedan 4p. t/m motor otto",HY5785E50614S00-1,2014-07-04,4.806,2014,liviano,ice,79.649.140-K,GILD79649140K,euro 5,lpo,1790.0,M,170.0,13.7,0.0,0.0,0.0,0.0,0.0053,0.0,0.0,0.0,0.0015,0.0,0.1588
hyundai,"elantra jk fl 1,8 lts. dohc coupe 2p. t/m motor otto",HY5785E50614S01-5,2014-07-04,4.806,2014,liviano,ice,79.649.140-K,GILD79649140K,euro 5,lpo,1790.0,M,170.0,13.7,0.0,0.0,0.0,0.0,0.0053,0.0,0.0,0.0,0.0015,0.0,0.1588
hyundai,"accent rb 1,4 lts. dohc sedan 4p. t/a tipo cvt motor otto",HY5720E50414S00-9,2014-07-04,4.52834,2014,liviano,ice,79.649.140-K,GILD79649140K,euro 5,lpo,1560.0,A,150.0,15.9,0.0,0.0,0.0,0.0,0.026715,0.0,0.0,0.0,0.00376,0.0,0.149475
hyundai,"accent rb 1,4 lts. dohc hatchback 5p. t/a tipo cvt motor otto",HY5720E50414S01-2,2014-07-04,4.09915,2014,liviano,ice,79.649.140-K,GILD79649140K,euro 5,lpo,1560.0,A,150.0,15.9,0.0,0.0,0.0,0.0,0.026715,0.0,0.0,0.0,0.00376,0.0,0.149475
great wall,"m4 1,5 lts. dohc hatchback 5p. t/m motor otto",GW5788E50614S00-8,2014-07-04,4.229825,2014,liviano,ice,,,euro 5,lpo,1481.0,M,152.0,15.7,0.0,0.0,0.0,0.0,0.034755,0.0,0.0,0.0,0.00344,0.0,0.156225
volkswagen,"scirocco tsi 1,4 lts. dohc hatchback 3p. t/a motor cthd otto",VW5807E50614S00-0,2014-07-08,4.57595,2014,liviano,ice,,,euro 5,lpo,1720.0,A,151.0,15.4,0.0,0.0,0.0,0.0,0.0175,0.0,0.0,0.0,0.0198,0.0,0.1225
volkswagen,"scirocco tsi 1,4 lts. dohc hatchback 3p. t/m motor cthd otto",VW5806E50614S00-5,2014-07-08,4.3826,2014,liviano,ice,,,euro 5,lpo,1730.0,M,157.0,14.7,0.0,0.0,0.0,0.0,0.0218,0.0,0.0,0.0,0.02055,0.0,0.1725
hyundai,"i30 gd 1,6 lts. dohc hatchback 5p. t/a motor otto",HY5768E50614S00-9,2014-07-08,4.505,2014,liviano,ice,79.649.140-K,GILD79649140K,euro 5,lpo,1800.0,A,168.0,14.1,0.0,0.0,0.0,0.0,0.030095,0.0,0.0,0.0,0.00516,0.0,0.280425
hyundai,"veloster fs 1,6 lts. dohc hatchback 4p. t/m motor otto",HY5719E50514S00-2,2014-07-09,4.5792,2014,liviano,ice,79.649.140-K,GILD79649140K,euro 5,lpo,1700.0,M,153.0,15.6,0.0,0.0,0.0,0.0,0.023595,0.0,0.0,0.0,0.00956,0.0,0.23608
chery,"grand tiggo 2,0 lts. dohc station wagon 5p. t/m motor otto",CY5741E50514S00-1,2014-07-10,4.7241,2014,liviano,ice,,,euro 5,lpo,1870.0,M,197.0,12.1,0.0,0.0,0.0,0.0,0.03377,0.0,0.0,0.0,0.01652,0.0,0.176925
renault,"koleos 2,0 lts. dohc station wagon 5p. t/a tipo cvt motor otto",RN5748E50514S00-K,2014-07-09,4.8689,2014,liviano,ice,,,euro 5,lpo,2100.0,A,212.0,11.2,0.0,0.0,0.0,0.0,0.036855,0.0,0.0,0.0,0.00484,0.0,0.39304
hyundai,"elantra md fl 1,8 lts. dohc sedan 4p. t/a motor otto",HY5786E50614S00-7,2014-07-10,4.806,2014,liviano,ice,79.649.140-K,GILD79649140K,euro 5,lpo,1700.0,A,173.0,13.8,0.0,0.0,0.0,0.0,0.013035,0.0,0.0,0.0,0.00228,0.0,0.2154
hyundai,"elantra jk fl 1,8 lts. dohc coupe 2p. t/a motor otto",HY5786E50614S01-0,2014-07-10,4.833,2014,liviano,ice,79.649.140-K,GILD79649140K,euro 5,lpo,1700.0,A,173.0,13.8,0.0,0.0,0.0,0.0,0.013035,0.0,0.0,0.0,0.00228,0.0,0.2154
peugeot,"boxer 3 l3h2 2,2 lts. hdi 150 hp dohc furgon 5p. t/m motor diesel",PG5764E5051400-2,2014-07-10,7.428435,2014,mediano,ice,,,euro 5,mc3d,3500.0,M,274.0,8.35,0.0,0.0025,0.0,0.0,0.0,0.32,0.0,0.0,0.14225,0.0,0.16
peugeot,"boxer 3 l1h1 2,2 lts. hdi 150 hp dohc furgon 5p. t/m motor diesel",PG5764E5051401-5,2014-07-10,6.36,2014,mediano,ice,,,euro 5,mc3d,3500.0,M,274.0,8.35,0.0,0.0025,0.0,0.0,0.0,0.32,0.0,0.0,0.14225,0.0,0.16
peugeot,"boxer 3 l2h2 2,2 lts. hdi 150 hp dohc furgon 5p. t/m motor diesel",PG5764E5051402-8,2014-07-10,6.12375,2014,mediano,ice,,,euro 5,mc3d,3500.0,M,274.0,8.35,0.0,0.0025,0.0,0.0,0.0,0.32,0.0,0.0,0.14225,0.0,0.16
peugeot,"boxer 3 l4h2 2,2 lts. hdi 150 hp dohc furgon 5p. t/m motor diesel",PG5764E5051403-0,2014-07-10,7.162125,2014,mediano,ice,,,euro 5,mc3d,3500.0,M,274.0,8.35,0.0,0.0025,0.0,0.0,0.0,0.32,0.0,0.0,0.14225,0.0,0.16
peugeot,"boxer 3 l2 2,2 lts. hdi 150 hp dohc pick up cabina simple 2p. t/m motor diesel",PG5764E5051404-3,2014-07-10,7.0725,2014,mediano,ice,,,euro 5,mc3d,3500.0,M,274.0,8.35,0.0,0.0025,0.0,0.0,0.0,0.32,0.0,0.0,0.14225,0.0,0.16
peugeot,"boxer 3 l3 2,2 lts. hdi 150 hp dohc pick up cabina doble 4p. t/m motor diesel",PG5764E5051405-6,2014-07-10,8.27175,2014,mediano,ice,,,euro 5,mc3d,3500.0,M,274.0,8.35,0.0,0.0025,0.0,0.0,0.0,0.32,0.0,0.0,0.14225,0.0,0.16
peugeot,"boxer 3 l3h2 2,2 lts. hdi 150hp dohc minibus (15 asientos) 5p. t/m motor diesel",PG5764E5051406-9,2014-07-10,8.27175,2014,mediano,ice,,,euro 5,mc3d,3500.0,M,274.0,8.35,0.0,0.0025,0.0,0.0,0.0,0.32,0.0,0.0,0.14225,0.0,0.16
peugeot,"boxer l3 2,2 lts. camioneta 2p. t/m motor diesel",PG5764E5051407-1,2015-07-15,8.27175,2015,mediano,ice,,,euro 5,mc3d,3500.0,M,274.0,8.35,0.0,0.0025,0.0,0.0,0.0,0.32,0.0,0.0,0.14225,0.0,0.16
renault,"megane iii 1,6 lts. dohc hatchback 5p. t/m motor otto",RN5740E50514S00-6,2014-07-10,5.4161,2014,liviano,ice,,,euro 5,lpo,1630.0,M,158.0,14.7,0.0,0.0,0.0,0.0,0.02525,0.0,0.0,0.0,0.02015,0.0,0.1514
renault,"fluence 1,6 lts. dohc sedan 4p. t/m motor otto",RN5740E50514S01-K,2014-07-10,5.5391,2014,liviano,ice,,,euro 5,lpo,1630.0,M,158.0,14.7,0.0,0.0,0.0,0.0,0.02525,0.0,0.0,0.0,0.02015,0.0,0.1514
renault,"dokker 1,6 lts. sohc furgon 5p. t/m motor otto",RN5780E50614S00-3,2014-07-14,5.7605,2014,liviano,ice,,,euro 5,cc1o,1881.0,M,178.0,12.8,0.0,0.0,0.0,0.0,0.02275,0.0,0.0,0.0,0.00735,0.0,0.3731
volvo,"s80 t5 2,0 lts. dohc sedan 4p. t/a motor otto",VL5759E50514S00-K,2014-07-11,5.81175,2014,liviano,ice,96.899.100-0,DITE968991000,euro 5,lpo,2140.0,A,157.0,14.8,0.0,0.0,0.0,0.0,0.0196,0.0,0.0,0.0,0.0133,0.0,0.1704
mahindra,"quanto c8 2,2 lts. dohc tipo jeep 5p. t/m 4x4 motor diesel",MH5624E50314S00-6,2014-07-11,4.8438,2014,liviano,ice,79.649.140-K,GILD79649140K,euro 5,cc3d,2510.0,M,218.0,10.53,0.0,0.00055,0.0,0.0,0.0,0.2019,0.0,0.0,0.0727,0.0,0.23945
mahindra,"quanto c8 2,2 lts. dohc tipo jeep 5p. t/m 4x2 motor diesel",MH5624E50314S01-K,2014-07-11,4.84812,2014,liviano,ice,79.649.140-K,GILD79649140K,euro 5,cc3d,2510.0,M,218.0,10.53,0.0,0.00055,0.0,0.0,0.0,0.2019,0.0,0.0,0.0727,0.0,0.23945
hyundai,"veloster fs 1,6 lts. dohc hatchback 4p. t/a motor otto",HY5750E50514S00-1,2014-07-11,5.3106,2014,liviano,ice,79.649.140-K,GILD79649140K,euro 5,lpo,1700.0,A,165.0,14.4,0.0,0.0,0.0,0.0,0.02964,0.0,0.0,0.0,0.00708,0.0,0.23775
baic,"senova 2,0 lts. dohc turbo sedan 4p. t/a motor otto",BC5593E40214S,2014-07-11,5.0141,2014,liviano,ice,79.649.140-K,GILD79649140K,euro 4,lpo,2030.0,A,262.0,9.8,0.0,0.0,0.0,0.0,0.0415,0.0,0.0,0.0,0.0145,0.0,0.3145
hyundai,"grand i10 ba 1,2 lts. dohc hatchback 5p. t/a motor otto",HY5751E50514S00-7,2014-07-14,5.10705,2014,liviano,ice,79.649.140-K,GILD79649140K,euro 5,lpo,1430.0,A,150.0,15.5,0.0,0.0,0.0,0.0,0.0185,0.0,0.0,0.0,0.0136,0.0,0.1774
hyundai,"grand i10 ba pe 1,2 lts. hatchback 5p. t/a otto",HY5751E50317S01-5,2017-04-05,5.10705,2017,liviano,ice,79.649.140-K,GILD79649140K,euro 5,lpo,1430.0,A,156.0,15.2,0.0,0.0,0.0,0.0,0.03159,0.0,0.0,0.0,0.02912,0.0,0.278025
hyundai,"grand i10 ba 1,2 lts. dohc hatchback 5p. t/m motor otto",HY5742E50514S00-8,2014-07-14,4.559,2014,liviano,ice,79.649.140-K,GILD79649140K,euro 5,lpo,1430.0,M,140.0,17.7,0.0,0.0,0.0,0.0,0.029545,0.0,0.0,0.0,0.00456,0.0,0.2535
hyundai,"grand i10 ba pe 1,2 lts. hatchback 5p. t/m otto",HY5742E50217S01-7,2017-03-01,4.559,2017,liviano,ice,79.649.140-K,GILD79649140K,euro 5,lpo,1430.0,M,142.0,16.7,0.0,0.0,0.0,0.0,0.02847,0.0,0.0,0.0,0.01168,0.0,0.2271
porsche,"macan r4 2,0 lts. dohc station wagon 5p. 4x4 t/a motor otto",PO5793E50614S00-4,2014-07-16,4.982425,2014,liviano,ice,96.899.100-0,DITE968991000,euro 5,lpo,2450.0,A,168.0,13.9,0.0,0.0,0.0,0.0,0.01605,0.0,0.0,0.0,0.02455,0.0,0.06535
